Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
Грибкова інфекція,свербіж,шкірний висип,вузлові шкірний висип,дисхромні плями,,,,,,,,,,,,,
Грибкова інфекція,шкірний висип,вузлові шкірний висип,дисхромні плями,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,вузлові шкірний висип,дисхромні плями,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,шкірний висип,дисхромні плями,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,шкірний висип,вузлові шкірний висип,,,,,,,,,,,,,,
Грибкова інфекція,шкірний висип,вузлові шкірний висип,дисхромні плями,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,вузлові шкірний висип,дисхромні плями,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,шкірний висип,дисхромні плями,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,шкірний висип,вузлові шкірний висип,,,,,,,,,,,,,,
Грибкова інфекція,свербіж,шкірний висип,вузлові шкірний висип,дисхромні плями,,,,,,,,,,,,,
Алергія,постійне чхання,тремтіння,озноб,сльозотеча,,,,,,,,,,,,,
Алергія,тремтіння,озноб,сльозотеча,,,,,,,,,,,,,,
Алергія,безперервне чхання,озноб,сльозотеча,,,,,,,,,,,,,,
Алергія,постійне чхання,тремтіння,сльозотеча,,,,,,,,,,,,,,
Алергія,постійне чхання,тремтіння,озноб,,,,,,,,,,,,,,
Алергія,тремтіння,озноб,сльозотеча,,,,,,,,,,,,,,
Алергія,безперервне чхання,озноб,сльозотеча,,,,,,,,,,,,,,
Алергія,постійне чхання,тремтіння,сльозотеча,,,,,,,,,,,,,,
Алергія,постійне чхання,тремтіння,озноб,,,,,,,,,,,,,,
Алергія,постійне чхання,тремтіння,озноб,сльозотеча,,,,,,,,,,,,,
ГЕРХ,біль у шлунку,підвищена кислотність,виразки на язиці,блювання,кашель,біль у грудях,,,,,,,,,,,
ГЕРХ,біль у шлунку,виразки на язиці,блювання,кашель,біль у грудях,,,,,,,,,,,,
ГЕРХ,біль у шлунку,кислотність,блювання,кашель,біль у грудях,,,,,,,,,,,,
ГЕРХ,біль у шлунку,підвищена кислотність,виразки на язиці,кашель,біль у грудях,,,,,,,,,,,,
